smiles,Serine_threonine-protein_kinase_Aurora-A
Cc1cc(Nc2nn(CC(C)C)c(=O)c3ccccc23)n[nH]1,1.0
Cc1cccc2[nH]c(-n3c(=O)[nH]c4ccccc43)nc12,0.0
NC(=O)c1cccc2c(NC3CCCNC3)c(C(=O)O)cnc12,0.0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc4c(c3)OCO4)n2)n[nH]1,1.0
Nc1c2cnc(-c3ccccc3)cc2nn1-c1ccccc1,0.0
COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,1.0
O=C(O)c1csc2c1NCCNC2=O,0.0
CC(C)n1ncc2cnc(Nc3cc(C(N)=O)n(C)c3)nc21,1.0
O=Cc1c(-c2ccc(Br)c([N+](=O)[O-])c2)nc2sccn12,0.0
O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)Nc1ccccc1Cl,1.0
COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)ccc34)ccc12,0.0
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(=O)[nH]c2)c1,1.0
NC(=O)c1cc2c(-c3cccc(F)c3)cncc2s1,0.0
COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(OC)cc2)c1,1.0
Cc1cn2c(-c3cnn(CC(=O)Nc4cccc(F)c4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,1.0
CCN(CCO)CCCOc1ccc2c(Nc3ccc(NC(=O)NC4CCCCC4)cc3)ncnc2c1,1.0
CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)N(C)C)cc2c1C(N)=O,1.0
COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC,0.0
Cc1ccc(C(=O)NC2CCCCC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.0
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)C(C)O)CC2)c(=O)n4C)cn1,0.0
CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)n[nH]1,1.0
NC(=O)c1cccc2c(NCc3cccc(Nc4nc5ccccc5s4)c3)ncnc12,1.0
O=C(Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1)Nc1ccc(CN2CCCCC2)cc1,1.0
CN1CCC(Oc2ccc(-c3n[nH]c4ccc(NC(=O)C(c5ccsc5)C5CCCC5)cc34)cc2)CC1,0.0
CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc3ccccc3c2)CC(=O)N1,0.0
Nc1nccc(-c2c[nH]c3ncc(-c4ccc(F)cc4)cc23)n1,0.0
CCc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1,1.0
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCN=c2[nH]cnc3ccsc23)s1,1.0
CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C2CC2(F)F)c1,1.0
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(F)c3)c2cc1OCCCN1CCN(C)CC1,1.0
O=C(O)C=CC(=O)Nc1cccc(-c2n[nH]c3ccc(NCc4ccccc4)cc23)c1,1.0
Cc1nn2c(C=O)c(-c3cc(Cl)sc3Cl)nc2s1,0.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)C4=CC(F)C(Cl)C=C4)c3)ncnc12,1.0
Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,1.0
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1,1.0
N=C(N)NN=Cc1c(-c2ccccc2F)nc2sccn12,0.0
O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)c1ccccc1,0.0
CC1=C(C(=O)Nc2ccc3[nH]nc(C)c3c2)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1,0.0
COc1cc2nccc(Oc3ccc4c(C(=O)NC(C)(C)C)cccc4c3)c2cc1OC,0.0
Cn1nc(C(=O)NCCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,1.0
CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,1.0
O=C(NCC1CC1)c1ccc(-c2cccc(C(=O)NC3CC3)c2)cc1,0.0
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Nc3ccc(N4CCOCC4)cc3)n2)n[nH]1,1.0
Cc1cc(Nc2nc(C(=O)c3ccccc3)nc3ccccc23)n[nH]1,1.0
O=C(Nc1ccccc1)Nc1nccs1,0.0
Fc1cnc(Nc2ccc(-c3nnn[nH]3)cc2)nc1Nc1ccccc1Cl,1.0
CCN(CC)CCNC(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,0.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ncnc12,0.0
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)F)n[nH]2)c1,1.0
Cn1nc(C(=O)NCc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,1.0
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,1.0
CC(=O)N1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Br)cnc4[nH]3)cc2)CC1,1.0
Cc1cn2c(C=NNC(=N)N)c(-c3ccc(F)c([N+](=O)[O-])c3)nc2s1,0.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)nc4)c3)ncnc12,1.0
CN1C(=O)C(=Cc2ccncc2)SC1=Nc1ccccc1,0.0
COc1ccc(C(O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2F)cc1,1.0
COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,1.0
NC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,1.0
NC(=O)c1cccc2c(NCc3cccc(O)c3)ncnc12,0.0
CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3c(N)cccc3[nH]2)o1,1.0
Cc1ccc(NC(=O)c2ccoc2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.0
CC(=O)c1cccc(-c2cnc3[nH]c(-c4ccc(N(C)C)cc4)nc3c2)c1,0.0
CC1(C)CN(c2ccc(-c3oc(-c4ccc(C(F)(F)F)c5[nH]ccc45)nc3C(N)=O)cc2)CCN1,1.0
CC(=O)c1nn(-c2ccccc2)cc1C(=O)c1c(C)[nH]c(-c2ccccc2)c1-c1ccccc1,0.0
CC(CN(C)C)Oc1nc(Nc2cc3cccc(Cl)c3cn2)cnc1C#N,0.0
NC(=O)c1cccc2c(NCc3ccccc3)ncnc12,0.0
Cc1cn2c(-c3cnn(CC(=O)NCc4ccccc4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,1.0
O=C(O)c1ccc2[nH]c(=O)n(-c3nc4ccccc4[nH]3)c2c1,0.0
COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,1.0
CN1CCC(NC(=O)c2ccc(Cn3nc(-c4cnn(C)c4)c4ccccc4c3=O)cc2)CC1,1.0
NC(=O)Cn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,0.0
CN(C)c1ccc(-c2nc3c(Cl)c(Cl)cnc3[nH]2)cc1,1.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)c3)ncnc12,1.0
Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2ccccc2)cc1,0.0
CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,0.0
O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(F)cc1F,1.0
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S+](C)O)cc4)n3C)ccc2c1,0.0
COc1ccc(Nc2cc3[nH]c(-c4cn[nH]c4)cc3cn2)cc1OC,0.0
CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,1.0
COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN1CCN(C(C)C)CC1)CC2,0.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(Br)cc4)c3)ncnc12,1.0
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,0.0
O=C1Nc2ccccc2Nc2nnc(Cl)cc21,1.0
COc1ccc(C(=O)Cn2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)cc1,1.0
COc1ccccc1-c1ccnc(Nc2cccc(S(C)(=O)=O)c2)n1,1.0
CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,0.0
Cn1cc(-c2c[nH]c(=O)c(N)c2)cn1,0.0
COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2(C)C,0.0
CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,1.0
COc1ccc2c(c1)C1(CC1c1ccc3c(C=Cc4ccc(CN5CC(C)OC(C)C5)cc4)n[nH]c3c1)C(=O)N2,1.0
COc1ccc(Nc2nc(-c3ccc(OC)nc3)cn3ccnc23)cc1,0.0
c1cnc2[nH]c(-c3ccc(N4CCCC4)cc3)nc2c1,0.0
N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,0.0
c1ccc2sc(-c3ccc(Nc4ncnc5ccsc45)cc3)nc2c1,0.0
CC1(C)OCC(=O)Nc2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc21,0.0
Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12,1.0
NC(=O)c1cc(NCc2ncc[nH]2)cc2c(NCc3ccccc3)ncnc12,1.0
Cc1ccc(C(=O)c2nc(Nc3cc(C)[nH]n3)c3ccc(Cl)cc3n2)cc1,0.0
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,0.0
Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,0.0
CCC(=O)Nc1ccc(Sc2nc(C)cc(Nc3cc(C)[nH]n3)n2)cc1,1.0
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CCCCC1,1.0
CC(=O)N1CCC(Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)C1c1ccc(F)cc1,1.0
O=C(Nc1ccccc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0.0
CCn1cc(-c2ccnc3[nH]c(-c4ccc(NC(C)=O)cc4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,1.0
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccccc2)c1,1.0
COCCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1,1.0
CS(=O)(=O)c1ccc(-n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)cc1,0.0
Cc1ccc(-n2nc(C)c3c(=O)c4cc(Cl)ccc4n(O)c32)cc1,1.0
NC(=O)c1cccc2c(NC(Cn3ccnn3)c3ccccc3)ncnc12,0.0
CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C4CC4)CC3)n2)cc1,1.0
NC(=O)c1cccc2c(NCc3ccc(O)cc3)ncnc12,1.0
Cc1cc(-c2cc(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)[nH]n2)ccc1NC(=O)Nc1cc(C(C)(C)C)on1,1.0
O=c1nc(-c2cc3c(Oc4ccc(I)cc4)cncc3s2)[nH]o1,1.0
COc1ccc(NC(=O)C2=C(C)Nc3n[nH]cc3C2c2ccco2)cc1,0.0
CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,0.0
CCOc1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,1.0
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(C(F)(F)F)cc3)ncc1CC2,1.0
COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4F)s3)ncnc2cc1OCCCN1CCCC1CO,1.0
O=c1[nH]c2nccc(Nc3ccccc3)c2c2ccccc12,0.0
Clc1c(CNc2nccc(Nc3cc(C4CCCO4)[nH]n3)n2)ccc2[nH]cnc12,1.0
Nc1cccc(-c2n[nH]c3ccccc23)c1,0.0
CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)n1,1.0
CC(C)=Cc1cccc2c1C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,0.0
CC(Nc1cncc(-n2cnc3ccccc32)n1)c1ccc(F)cc1,0.0
Cc1ccccc1NC(=O)Nc1ccc(CCNc2ncnc3oc(-c4ccccc4)c(Cl)c23)cc1,1.0
COCCOCC#Cc1cc(-c2n[nH]c3c2C(=O)c2cc(CN4CCN(C)CC4)ccc2-3)cs1,0.0
Cc1noc(C)c1Cn1cc(-c2ccnc(N)n2)c2ccccc21,0.0
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(Cl)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,1.0
N#CC1(Cc2cccc(Nc3cc[nH]n3)n2)CCC(Oc2cccc(Cl)c2F)CC1,1.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cc5cc(Cl)ccc5[nH]4)c3)ncnc12,1.0
C=[N+]([O-])c1cccc(C(COC)Nc2ncnc3c(C(N)=O)cccc23)c1,1.0
CC(=O)Nc1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,1.0
CC(C)NC1=NNC(=O)C1=Cc1cc2ccccc2[nH]1,1.0
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(C(=O)Nc5ccccc5)sc34)cc2)CC1,1.0
Cc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)c(-c3ccccc3)nn2n1,0.0
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(C(=O)NC(CN5CCCC5)c5ccccc5)sc34)cc2)CC1,1.0
O=C(O)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,1.0
CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4ccccc34)cc2n1,1.0
CC(C)c1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1,0.0
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)c(F)c2)c1,1.0
Fc1ccc(-c2ncn(CCCN3CCOCC3)c2-c2ccncc2)cc1,0.0
NS(=O)(=O)c1ccc2c(c1)C(=Cc1[nH]c3c(c1CCC(=O)O)C(=O)CCC3)C(=O)N2,1.0
Cc1cc2[nH]nc(N)c2c(=O)[nH]1,0.0
CC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,1.0
c1ccc(-c2cn(-c3ccc4[nH]ncc4c3)nn2)c(NCc2ccncc2)c1,0.0
COc1cc2c(cc1Nc1nc(N3CCc4ccccc43)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,0.0
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(N5CCNCC5)nc34)CC2)no1,1.0
N#CCC(Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,1.0
Cc1ccc(NC(=O)C(Cc2ccc(O)cc2)NC(=O)c2ccccc2N)cc1,0.0
CN1CCC(c2cc(Nc3ccnc(N(C)CC4CCC(N)CC4)n3)n[nH]2)C1=O,0.0
COc1cc2c(Nc3nc(CC(=O)Nc4cccc(F)c4)cs3)ncnc2cc1OCCCN1CCOCC1,1.0
O=c1[nH]c2sccc2c(NC2CCCNC2)c1-c1nc2ccccc2[nH]1,1.0
CC#CC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,1.0
COCCC(Nc1ncnc2c(C(N)=O)cccc12)C1=CCCC(NC(=O)c2ccccc2F)=C1,1.0
Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1,1.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(F)c4)c3)ncnc12,1.0
COc1cccc(NC(C)C(=O)Nc2nc3ccc4[nH]ncc4c3s2)c1,1.0
O=Cc1c(-c2cc(Cl)sc2Cl)nc2sc(Cl)cn12,0.0
CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)n[nH]3)c3ccccc3n2)cc1,1.0
COc1cc(C)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,0.0
O=C(NNC(=S)Nc1ccc(Cl)cc1)C(O)(c1ccccc1)c1ccccc1,1.0
CN1CCC(COc2ccc3c(Nc4ccc(NC(=O)Nc5cccc(F)c5)cc4)ncnc3c2)CC1,0.0
N#Cc1ccc2c(c1)C(c1ccc3c(n1)CCCC3O)C(=O)N2,0.0
COc1ccc2c(Nc3cc(C)[nH]n3)nc(-c3ccccc3)nc2c1,1.0
O=C(Nc1ccc(-n2cnc3ccccc32)cc1)Nc1cccc(C(F)(F)F)c1,1.0
CN(C(=O)c1ccc(Cl)cc1)c1ccc2[nH]c(-c3n[nH]c4ccccc34)cc2n1,1.0
NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,1.0
O=C(Nc1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1)c1ccccc1F,1.0
COc1cc2nccc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC,0.0
CN(C)CCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(O)c2cc(C3CC3)n[nH]2)c1,1.0
CSc1cnc2c(ccc3cnccc32)c1O,1.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(OCCN5CCOCC5)c4)c3)ncnc12,1.0
NC(=O)c1cc(OCc2ccccc2)cc2c(NCc3ccc(C(F)(F)F)cc3)ncnc12,0.0
COc1cc2c(Nc3ncc(CNS(=O)(=O)c4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1,1.0
O=C(Nc1ccccc1)Nc1ccc(-c2nn(CCO)cc2-c2ccnc3[nH]ccc23)cc1,1.0
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc(O)cc2)n1,1.0
O=C(O)CCc1c(C=C2C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,1.0
C#Cn1c(C#CCCO)nc(-c2ccc(F)cc2)c1-c1ccncc1,0.0
c1ccc(Cc2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,0.0
COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ncco4)nn3)ccc2O)c1,0.0
O=C(Nc1cccc(-n2ccc3c(NC(=O)c4ccccc4)nccc32)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1,0.0
Cn1nc(C(=O)N(O)C2CCCCC2)c2c1-c1nc(NC3CCCC3)ncc1CC2,0.0
CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cncnc2)c1,1.0
CCOc1nc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc(N)c1C#N,0.0
NC(=O)c1cccc2c(NCC3=CC(Cl)=CCC3)ncnc12,1.0
CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)c3cccs3)cc2c1C(N)=O,1.0
CCCCNC(=O)c1cccc(NC(=O)CCCCCNc2ncnc3[nH]cnc23)c1,0.0
O=C1Nc2cc(NC(=O)c3c[nH]cc(-c4ccccc4F)c3=O)ccc2C1=Cc1ccc[nH]1,0.0
COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NC(C)C(C)(C)C)c2n1,0.0
Cc1cnc(Nc2ccc(C(=O)O)cc2)nc1Nc1ccccc1C(=O)O,1.0
CC(=O)Nc1c[nH]nc1-c1nc2ccccc2[nH]1,1.0
COCC1CCCN1CCCOc1cc(C(N)=O)c2ncnc(NCc3ccc(C(F)(F)F)cc3)c2c1,0.0
O=C(O)c1cccc(Nc2nccc(Nc3ccccc3Cl)n2)c1,1.0
COc1cc(C(N)=O)c2ncnc(NCc3cccc(C(F)(F)F)c3)c2c1,1.0
Nc1ncnc2c1N=C(c1ccccc1)CCN2,0.0
Cn1cc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c2ccccc21,1.0
COCC1CCCN1C(=O)c1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cn1C,1.0
COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cc(C(O)CO)cc34)c2)cc1,1.0
CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Cl)c1,1.0
NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(Cl)c4)c3)ncnc12,1.0
CN1CCN(CCC(Nc2ncnc3c(C(N)=O)cccc23)c2cccc(NC(=O)c3cc(C4CC4)n[nH]3)c2)CC1,1.0
Cc1n[nH]c2sc(C(=O)NCCc3ccc(Cl)cc3)cc12,1.0
COc1ccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)cc1OC,1.0
COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,1.0
Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(Cc3cccc(F)n3)ns2)n1,1.0
Fc1c(F)c(F)c2c(-c3ccccc3)n[nH]c2c1F,0.0
c1ccc(-c2ccc(-c3nc4cccnc4[nH]3)cc2)nc1,0.0
